Exps,Pow1,Pow2,Pow3
1,4.576900000000106e-05,5.035299999999951e-05,3.8583000000001755e-05
10,5.130000000000065e-05,9.129800000000007e-05,0.00011864799999999898
100,7.350000000000065e-05,0.0007503620000000009,0.00021271600000000168
1000,0.00040745400000000154,0.014295917000000002,0.0006163710000000044
10000,0.016599984999999998,0.599675313,0.013882973000000076
